time,binance_price,huobi_price,kucoin_price
11:12:44,20864.23,20861.77,20866.0
11:12:46,20868.0,20864.43,20869.0
11:12:49,20868.67,20864.43,20869.0
11:12:51,20867.28,20864.8,20869.0
11:12:52,20865.86,20864.8,20869.0
11:12:55,20866.55,20864.81,20869.0
11:12:58,20865.96,20864.81,20863.2
11:13:00,20864.56,20863.76,20863.3
11:13:02,20864.86,20863.77,20864.3
11:13:04,20864.69,20863.44,20864.4
11:13:06,20866.16,20864.42,20864.4
11:13:08,20868.52,20864.42,20869.2
11:13:11,20868.89,20864.42,20869.2
11:13:13,20867.38,20864.42,20869.1
11:13:16,20865.96,20864.42,20869.1
11:13:18,20866.82,20864.42,20869.1
11:13:20,20869.34,20864.42,20869.1
11:13:22,20868.15,20864.8,20869.1
11:13:24,20866.39,20864.81,20869.1
11:13:26,20868.05,20864.93,20869.1
11:13:28,20868.49,20864.93,20869.2
11:13:30,20867.57,20864.92,20869.1
11:13:32,20867.26,20864.84,20869.1
11:13:34,20866.48,20864.84,20869.1
11:13:36,20866.65,20864.84,20869.1
11:13:38,20868.0,20864.84,20869.1
11:13:40,20867.4,20864.83,20869.1
11:13:43,20868.63,20864.93,20869.2
11:13:45,20867.58,20864.93,20869.2
11:13:47,20867.3,20864.93,20869.2
11:13:48,20867.73,20865.0,20869.2
11:13:50,20868.15,20864.94,20869.2
11:13:54,20867.1,20864.93,20869.2
11:13:57,20868.58,20864.93,20869.2
11:13:59,20869.27,20864.93,20869.2
11:14:02,20872.06,20868.31,20872.0
11:14:05,20873.69,20868.97,20873.0
11:14:07,20879.11,20875.0,20878.5
11:14:09,20878.07,20874.99,20874.9
11:14:12,20872.07,20871.83,20872.0
11:14:14,20874.75,20871.83,20871.9
11:14:16,20875.01,20874.1,20871.9
11:14:18,20876.22,20874.1,20872.0
11:14:21,20872.21,20874.1,20872.0
11:14:23,20875.67,20874.1,20871.9
11:14:25,20874.9,20874.1,20871.9
11:14:27,20874.27,20872.86,20878.9
11:14:29,20878.1,20872.86,20877.0
11:14:32,20879.71,20875.0,20877.7
11:14:35,20881.31,20879.57,20880.0
11:14:38,20880.98,20879.48,20879.9
11:14:40,20876.29,20876.66,20877.7
11:14:42,20877.25,20876.68,20877.8
11:14:46,20881.45,20876.68,20877.8
11:14:48,20880.36,20876.68,20880.8
11:14:50,20880.65,20877.11,20880.7
11:14:52,20880.97,20879.98,20880.7
11:14:54,20883.95,20879.98,20881.5
11:14:57,20882.01,20879.98,20881.9
11:14:59,20880.89,20879.98,20881.8
11:15:01,20880.89,20879.98,20881.8
11:15:03,20878.37,20876.69,20881.8
11:15:05,20878.72,20876.69,20881.6
11:15:08,20881.14,20876.69,20881.5
11:15:10,20882.52,20876.69,20881.5
11:15:12,20885.52,20879.99,20881.9
11:15:14,20882.76,20879.99,20881.9
11:15:16,20883.03,20880.0,20881.9
11:15:19,20881.66,20880.0,20884.4
11:15:21,20887.44,20880.58,20885.0
11:15:23,20887.9,20880.59,20885.0
11:15:25,20887.38,20880.59,20885.0
11:15:27,20887.02,20880.59,20885.0
11:15:29,20888.98,20881.49,20885.0
11:15:31,20887.31,20881.64,20885.0
11:15:33,20890.73,20884.3,20889.7
11:15:36,20892.03,20885.0,20889.8
11:15:39,20889.94,20882.68,20887.6
11:15:42,20884.85,20883.7,20885.3
11:15:44,20884.87,20883.69,20885.4
11:15:46,20886.29,20883.69,20887.6
11:15:48,20890.32,20884.69,20887.6
11:15:50,20889.87,20885.67,20887.6
11:15:52,20892.4,20894.99,20896.2
11:15:54,20892.29,20891.4,20890.7
11:15:56,20887.04,20888.91,20889.2
11:15:58,20888.97,20887.4,20890.9
11:16:00,20892.48,20887.85,20892.4
11:16:02,20889.14,20887.85,20889.5
11:16:04,20884.62,20883.12,20885.5
11:16:07,20884.64,20883.12,20885.0
11:16:11,20876.37,20875.0,20876.4
11:16:13,20871.81,20874.52,20873.2
11:16:15,20874.38,20874.52,20873.2
11:16:17,20870.53,20870.48,20873.2
11:16:19,20871.12,20870.49,20873.2
11:16:21,20870.0,20870.48,20873.2
11:16:23,20869.79,20870.48,20871.6
11:16:25,20867.46,20867.74,20868.8
11:16:27,20865.51,20867.74,20865.1
11:16:29,20864.62,20867.74,20865.1
11:16:32,20861.8,20867.74,20862.5
11:16:35,20864.45,20867.74,20862.6
11:16:38,20862.96,20867.74,20862.6
11:16:40,20861.57,20867.74,20862.6
11:16:42,20864.11,20867.74,20862.6
11:16:44,20866.52,20860.16,20864.8
11:16:47,20865.16,20863.16,20865.5
11:16:49,20863.14,20863.16,20865.5
11:16:51,20863.94,20863.15,20867.3
11:16:53,20870.25,20870.13,20871.2
11:16:55,20871.56,20870.13,20871.1
11:16:57,20869.54,20870.13,20871.1
11:16:59,20869.62,20868.79,20871.1
11:17:01,20871.36,20868.79,20871.1
11:17:03,20871.43,20868.79,20865.8
11:17:05,20860.42,20864.12,20863.7
11:17:07,20858.64,20863.11,20860.9
11:17:10,20855.76,20857.75,20856.8
11:17:12,20856.8,20853.92,20856.8
11:17:14,20854.1,20855.77,20856.7
11:17:17,20852.71,20852.45,20850.6
11:17:20,20854.21,20852.45,20852.0
11:17:22,20856.45,20852.45,20857.0
11:17:24,20852.71,20852.45,20857.0
11:17:26,20851.27,20853.4,20853.5
11:17:29,20850.52,20850.51,20851.1
11:17:31,20852.32,20850.51,20851.1
11:17:34,20852.68,20850.51,20851.1
11:17:36,20853.96,20850.51,20851.0
11:17:38,20852.44,20850.51,20851.0
11:17:40,20852.83,20850.51,20851.0
11:17:42,20853.23,20850.51,20851.0
11:17:44,20861.9,20854.83,20859.7
11:17:47,20860.14,20854.83,20859.8
11:17:49,20859.09,20854.83,20859.8
11:17:51,20856.33,20856.4,20858.9
11:17:54,20857.21,20859.1,20858.9
11:17:56,20854.08,20859.04,20858.9
11:17:59,20852.31,20855.75,20854.6
11:18:01,20851.25,20851.65,20854.6
11:18:03,20848.7,20851.65,20849.0
11:18:05,20848.52,20849.08,20847.5
11:18:08,20846.38,20848.32,20847.5
11:18:11,20844.6,20848.33,20846.4
11:18:14,20844.2,20848.33,20846.4
11:18:16,20846.97,20845.12,20846.4
11:18:18,20849.61,20845.12,20849.6
11:18:20,20849.51,20845.12,20849.6
11:18:22,20851.16,20849.76,20849.6
11:18:24,20853.16,20852.63,20853.4
11:18:26,20851.06,20852.63,20851.1
11:18:28,20851.84,20852.63,20851.1
11:18:30,20849.9,20852.63,20850.0
11:18:33,20849.84,20850.25,20850.0
11:18:35,20850.97,20850.29,20850.0
11:18:37,20848.44,20849.46,20847.4
11:18:40,20848.88,20848.19,20847.4
11:18:44,20847.76,20849.45,20847.3
11:18:46,20848.81,20849.45,20847.3
11:18:48,20847.25,20847.06,20847.3
11:18:50,20845.96,20846.91,20847.3
11:18:52,20845.38,20846.91,20847.4
11:18:54,20849.69,20848.02,20847.3
11:18:57,20849.82,20848.01,20851.1
11:19:00,20852.47,20848.02,20851.2
11:19:03,20852.92,20848.23,20851.2
11:19:05,20857.06,20850.2,20855.3
11:19:07,20857.99,20850.2,20855.3
11:19:10,20861.0,20863.25,20858.7
11:19:12,20858.42,20863.25,20858.7
11:19:14,20863.12,20859.64,20859.7
11:19:16,20863.13,20859.64,20861.6
11:19:18,20863.7,20863.5,20861.6
11:19:20,20861.33,20865.54,20861.5
11:19:22,20863.1,20863.28,20861.6
11:19:24,20860.67,20863.28,20861.2
11:19:27,20856.5,20862.15,20857.0
11:19:29,20855.76,20858.71,20857.0
